t_s,true_range_m,est_range_m,bearing_deg,left_rad_s,right_rad_s,detected
43.904,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
43.936,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
43.968,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
44.0,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
44.032,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
44.064,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
44.096,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
44.128,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
44.16,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
44.192,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
44.224,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
44.256,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
44.288,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
44.32,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
44.352,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
44.384,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
44.416,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
44.448,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
44.48,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
44.512,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
44.544,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
44.576,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
44.608,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
44.64,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
44.672,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
44.704,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
44.736,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
44.768,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
44.8,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
44.832,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
44.864,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
44.896,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
44.928,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
44.96,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
44.992,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
45.024,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
45.056,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
45.088,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
45.12,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
45.152,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
45.184,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
45.216,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
45.248,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
45.28,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
45.312,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
45.344,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
45.376,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
45.408,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
45.44,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
45.472,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
45.504,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
45.536,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
45.568,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
45.6,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
45.632,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
45.664,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
45.696,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
45.728,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
45.76,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
45.792,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
45.824,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
45.856,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
45.888,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
45.92,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
45.952,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
45.984,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
46.016,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
46.048,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
46.08,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
46.112,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
46.144,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
46.176,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
46.208,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
46.24,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
46.272,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
46.304,0.4372620958565478,0.4285465503564924,0.0,0.0,0.0,1
